TSC_CCS Type,TSC_CCS Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,Proficiency Level,Proficiency Description,Knowledge / Ability Classification,Knowledge / Ability Items
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Evaluate effectiveness of new technologies to solve business problems
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Socialise new technologies with stakeholders for feedback
tsc,WST-TEM-4025-1.1,Wholesale Trade,Business Management,Technology Integration,Integrate technologies into business operations of the organisation to optimise efficiency and effectiveness of processes,4,"Review practicality, feasibility and risks of new technologies in relation to business processes",ability,Develop technology implementation approaches and schedules
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Escalation procedures for handling contractual issues
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,Source for alternative vendors as a contingent
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,Maintain working-level communications and feedback to vendor and/or service providers
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Organisation's policies and protocol in vendor management
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,Engage vendors regularly to set and align expectations and activities as well as to act on feedback
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Vendor engagement techniques
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,"Vendors' duties and roles, and their impact on the organisation"
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,Compare the costs and quality from different vendors and suppliers on products and services provided
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Sources of alternative vendors and suppliers
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Performance monitoring processes
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,"Resolve minor contractual or performance issues at operational level, and escalate contractual issues that cannot be resolved"
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,knowledge,Methods of comparing vendor costs and quality
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,"Articulate vendor's role and responsibilities, and manage vendors' expectations accordingly"
tsc,WST-BIN-3028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",3,Monitor vendors' performance and resolve contractual issues,ability,Monitor activities and performance of vendors against contract terms and identify performance problems or contractual issues
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Relevant stakeholders in change processes
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Key performance indicators
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Provide suggestions for tweaks to business processes and/or operations to support changes and transitions effectively
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Roles in change management programmes and initiatives
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Types of change control procedures
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Importance of pro-active involvement by participation in change management programmes
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Identify opportunities for change within own scope of work to improve work processes
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Apply and document change control procedures in regular work processes based on endorsed changes
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Support implementation of change when required
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Scope of individual discretion and freedom to feedback with regards to change
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Impact of change on  employees
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Internal and external environments that lead to changes in the organisation
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Current organisational practices with regards to change
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Develop communication materials to prepare affected employees and stakeholders for change
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,knowledge,Behavioural impact of change processes
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Identify associated costs and resources required to facilitate change implementation
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Identify impact of change on employees and stakeholders
tsc,WST-BIN-3063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",3,Apply change control procedures to prepare stakeholders for the change,ability,Document change impact on workplace performance and processes against key performance benchmarks and/or  success indicators
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,"Work systems, processes and procedures"
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,"Collaborate with involved parties to identify, discuss and develop effective ways of working"
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Steps in innovation process
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,Present ideas to relevant stakeholders for feedback to improve ideas and develop possible variations
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Types of possible operational barriers to innovation
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,Assist in pilot testing and/or prototyping to determine effectiveness of innovation initiatives
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Barriers to innovation
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Concepts and conditions for innovation
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,"Analyse existing business function ideas, processes and products"
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Collaboration and communication methods
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Behaviours that support innovation
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,knowledge,Steps in pilot-testing and/or prototyping innovation initiatives
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,Conduct regular reviews to identify areas for improvement in facilitating innovation processes
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,Identify needs and opportunities for innovation initiatives within the functional area
tsc,WST-BIN-3067-1.1,Wholesale Trade,General Management,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products",3,Analyse work systems and processes to propose ideas and support the implementation of innovation initiatives within the functional area,ability,Support implementation of innovation initiatives in the department
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,ability,Document operational functions of the organisational performance systems within the department
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,knowledge,Types of performance systems
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,knowledge,"Department's policies, products and processes"
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,ability,Perform modifications to close the gaps found in  business functions according to requirements of action plans
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,knowledge,Performance monitoring and testing procedures
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,ability,Track the progress and performance of  business processes by comparing test results against key performance indicators
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,ability,Identify gaps in  business processes based on test results and highlight areas for improvement
tsc,WST-BIN-3070-1.1,Wholesale Trade,General Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",3,Monitor performance of the department,ability,Perform regular tests and checks on business processes according to  monitoring and testing procedures
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,"Evaluate vendors for compliance with Health, Safety and Environment and Current Good Manufacturing Practices requirements"
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,"Evaluate the impact of contractual issues and problems on the organisation, and determine if a major contractual breach has occurred"
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,Sustain smooth interactions and relationships with vendors and/or service providers
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,knowledge,Methods of evaluating vendor relationships
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,Resolve complaints and quality or service issues with vendors
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,knowledge,Contract management
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,"Analyse vendor service delivery and performance levels in line with key performance indicators, and provide performance feedback"
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,Determine and set clear parameters and expectations of vendors' roles and responsibilities
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,Manage vendors' performance against standards and benchmarks
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,knowledge,Implications of contractual issues on the organisation
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,knowledge,Techniques for managing non-conformance in service delivery
tsc,WST-BIN-4028-1.1,Wholesale Trade,General Management,Vendor Management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards",4,Develop and sustain vendor relationships and manage vendors' performance,ability,Negotiate with vendors to align interests and goals to arrive at mutually-beneficial arrangements
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Impact of changes on business activities and processes
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,Identify business activities and/or  processes required to integrate and roll out new changes in the business environment
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,"Identify potential pitfalls, obstacles or challenges to smooth adoption and implementation of change"
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Mitigating actions to manage resistance to change
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,Present project performance outcomes to relevant stakeholders in accordance with organisational procedures
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Assessment of change performance against benchmarks
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Internal and external environments that impact change programmes
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,"Analyse resources and cost-impact of proposed changes, and highlight where people, resources or finances need to be redirected if required"
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Types of change implementation plans and procedures
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,Drive execution of change control procedures based on  implementation plans for endorsed change requests
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Challenges to  successful change implementation
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,Deliver training to equip affected employees with skills to manage change
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Reasons for resistance to participate in change management programmes and initiatives
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,ability,Assess change performance against new key performance benchmarks and implement follow-up actions where required
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Needs and expectations of relevant stakeholders
tsc,WST-BIN-4063-1.1,Wholesale Trade,General Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",4,Drive execution of change control procedures and assess change performance against key performance benchmarks,knowledge,Types of resources required to roll out changes effectively
