TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type
ACC-AUD-6007-1.1,Accountancy,Assurance,Engagement Quality Control,Set up control procedures for an assurance engagement,tsc
ACC-AUD-6008-1.1,Accountancy,Assurance,Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc
ACC-PVE-3001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc
ACC-PVE-4001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc
ACC-PVE-5001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc
ACC-PVE-6001-1.1,Accountancy,Assurance,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc
ACC-ACE-3007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc
ACC-ACE-4007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc
ACC-ACE-5007-1.1,Accountancy,Business Management,Systems Thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues",tsc
ACC-AUD-3009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc
ACC-AUD-4009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc
ACC-AUD-5009-1.1,Accountancy,Business Management,Professional Scepticism and Judgment,Assess evidence to make informed decisions about the appropriate course of action,tsc
ACC-BIN-3021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc
ACC-BIN-3105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc
ACC-BIN-4021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc
ACC-BIN-4105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc
ACC-BIN-5021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc
ACC-BIN-5105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc
ACC-BIN-6021-1.1,Accountancy,Business Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems",tsc
ACC-BIN-6105-1.1,Accountancy,Business Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,tsc
ACC-BLR-2001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc
ACC-BLR-3001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc
ACC-BLR-4001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc
ACC-BLR-5001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc
ACC-BLR-6001-1.1,Accountancy,Business Management,Corporate and Business Law,Respond to the changes in business laws and regulations,tsc
ACC-BRL-2001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc
ACC-BRL-3001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc
ACC-BRL-3002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc
ACC-BRL-4001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc
ACC-BRL-4002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc
ACC-BRL-5001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc
ACC-BRL-5002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc
ACC-BRL-6001-1.1,Accountancy,Business Management,Conflict Management,"Build consensus, maintain the best interests of the organisation and utilise knowledge of conflict management techniques to diffuse tensions and achieve resolutions effectively",tsc
ACC-BRL-6002-1.1,Accountancy,Business Management,Stakeholder Management,"Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures",tsc
ACC-BTF-3001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc
ACC-BTF-3002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc
ACC-BTF-4001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc
ACC-BTF-4002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc
ACC-BTF-5001-1.1,Accountancy,Business Management,Business Innovation and Improvement,Transform businesses through innovation and embrace changes to drive improvements,tsc
ACC-BTF-5002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc
ACC-BTF-5003-1.1,Accountancy,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,tsc
ACC-BTF-6002-1.1,Accountancy,Business Management,Change Management,Manage changes and developments within teams and organisation,tsc
ACC-BTF-6003-1.1,Accountancy,Business Management,Disruption Management,Lead radical changes in industry or business strategies involving new products or services that create new markets and challenge the incumbent business models,tsc
ACC-CFI-2006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc
ACC-CFI-3006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc
ACC-CFI-4006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc
ACC-CFI-5006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc
ACC-CFI-6006-1.1,Accountancy,Business Management,Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc
ACC-CRP-4008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc
ACC-CRP-5008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc
ACC-CRP-6008-1.1,Accountancy,Business Management,Non-Financial Reporting,Prepare sustainability and integrated reports of the organisation,tsc
ACC-IAD-3001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc
ACC-IAD-3002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc
ACC-IAD-3003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc
ACC-IAD-4001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc
ACC-IAD-4002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc
ACC-IAD-4003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc
ACC-IAD-5001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc
ACC-IAD-5002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc
ACC-IAD-5003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc
ACC-IAD-6001-1.1,Accountancy,Business Management,Business Acumen,"Assess the impact of changes in the business organisation, environment, and industry",tsc
ACC-IAD-6002-1.1,Accountancy,Business Management,Business Process Analysis,"Analyse business processes for improvement, optimisation and efficiency",tsc
ACC-IAD-6003-1.1,Accountancy,Business Management,Information Gathering and Analysis,Collect and analyse information and data to obtain business insights for business activities,tsc
ACC-LGL-3001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc
ACC-LGL-3002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc
ACC-LGL-4001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc
ACC-LGL-4002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc
ACC-LGL-5001-1.1,Accountancy,Business Management,Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc
ACC-LGL-5002-1.1,Accountancy,Business Management,Litigation Support,Provide evidence and testimonies to be used in litigation,tsc
ACC-MAC-2007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc
ACC-MAC-3001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc
ACC-MAC-3006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc
ACC-MAC-3007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc
ACC-MAC-4001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc
ACC-MAC-4006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc
ACC-MAC-4007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc
ACC-MAC-5001-1.1,Accountancy,Business Management,Benchmarking,Compare organisational performance to other organisations and industries,tsc
ACC-MAC-5006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc
ACC-MAC-5007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc
ACC-MAC-6006-1.1,Accountancy,Business Management,Management Decision Making,Make financial decisions based on management reports,tsc
ACC-MAC-6007-1.1,Accountancy,Business Management,Performance Management,Measure and manage business performance,tsc
ACC-PMM-2001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc
ACC-PMM-3001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc
ACC-PMM-3002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc
ACC-PMM-4001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc
ACC-PMM-4002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc
ACC-PMM-5001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc
ACC-PMM-5002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc
ACC-PMM-6001-1.1,Accountancy,Business Management,Project Execution and Control,"Implement projects in accordance with project plan and deliverables, and monitoring and controlling processes performed to influence project outcomes",tsc
ACC-PMM-6002-1.1,Accountancy,Business Management,Project Feasibility,Study project feasibility to meet project outcomes and objectives,tsc
ACC-PVE-3006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc
ACC-PVE-4006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc
ACC-PVE-5006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc
ACC-PVE-6006-1.1,Accountancy,Business Management,Professional Standards,Advocate standards development to promote public confidence and build trust in society,tsc
ACC-RIM-3007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc
ACC-RIM-4007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc
ACC-RIM-5007-1.1,Accountancy,Business Management,Business Continuity Management,Develop business continuity strategies to manage risks in response to disruptive events,tsc
ACC-SBM-2001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc
ACC-SBM-3001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc
ACC-SBM-3004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc
ACC-SBM-4001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc
ACC-SBM-4002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc
ACC-SBM-4004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc
ACC-SBM-5001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc
ACC-SBM-5002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc
ACC-SBM-5003-1.1,Accountancy,Business Management,Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness,tsc
ACC-SBM-5004-1.1,Accountancy,Business Management,Macroeconomic Analysis,Evaluate impact of external factors on the organisation,tsc
ACC-SBM-6001-1.1,Accountancy,Business Management,Business Development,Develop and implement plans to enhance organisation's business performance and growth,tsc
ACC-SBM-6002-1.1,Accountancy,Business Management,Business Planning,Design and formulate business plans to achieve business goals,tsc
ACC-SBM-6003-1.1,Accountancy,Business Management,Business Process Management,Manage and optimise an organisation's business processes for efficiency and effectiveness,tsc
ACC-DAT-3020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc
ACC-DAT-3022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc
ACC-DAT-3023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc
ACC-DAT-4020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc
ACC-DAT-4022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc
ACC-DAT-4023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc
ACC-DAT-5020-1.1,Accountancy,Digital and Data Management,Data Storytelling and Visualisation,"Combine data insights, dynamic visual displays with illustrative and interactive graphics and narrative representative formats to present patterns, trends, meaning, messages and analytical insights from data or new concepts in a strategic manner",tsc
ACC-DAT-5022-1.1,Accountancy,Digital and Data Management,Digital Forensics,Use forensic technologies in the delivery of forensic services,tsc
ACC-DAT-5023-1.1,Accountancy,Digital and Data Management,Forensic Data Analytics,Interpret and analyse data using statistical techniques to uncover trends and patterns in finance and accounting documentation which are indicative of fraudulent activities,tsc
ACC-DIT-2018-1.1-1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc
ACC-DIT-3018-1.1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc
ACC-DIT-4018-1.1,Accountancy,Digital and Data Management,Programming and Coding,"Develop technical capabilities to understand, design and write instructions to be processed by computers as software programmes to achieve desired outcomes",tsc
ACC-ICT-2001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc
ACC-ICT-3001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc
ACC-ICT-3002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc
ACC-ICT-3003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc
ACC-ICT-3004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc
ACC-ICT-3005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc
ACC-ICT-4001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc
ACC-ICT-4002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc
ACC-ICT-4003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc
ACC-ICT-4004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc
ACC-ICT-4005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc
ACC-ICT-5001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc
ACC-ICT-5002-1.1,Accountancy,Digital and Data Management,Cyber Security,Develop awareness of cyber security threats,tsc
ACC-ICT-5003-1.1,Accountancy,Digital and Data Management,Data Analytics,Apply data extraction and analytic methods to analyse and evaluate financial and non-financial information and provide business intelligence,tsc
ACC-ICT-5004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc
ACC-ICT-5005-1.1,Accountancy,Digital and Data Management,Digital Technology Environment Scanning,Evaluate the digital technology environment and the impact of digital technology development,tsc
ACC-ICT-6001-1.1,Accountancy,Digital and Data Management,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc
ACC-ICT-6004-1.1,Accountancy,Digital and Data Management,Digital Technology Adoption and Innovation,Develop digital technology enhancement projects to support the organisational objectives,tsc
ACC-LGL-3003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc
ACC-LGL-4003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc
ACC-LGL-5003-1.1,Accountancy,Digital and Data Management,Evidence Management,Employ forensic research methodologies to collect and manage data,tsc
ACC-SNA-3008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc
ACC-SNA-4008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc
ACC-SNA-5008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc
ACC-SNA-6008-1.1-1,Accountancy,Digital and Data Management,Data Governance,"Develop, implement and practice guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches",tsc
ACC-SUM-3004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc
ACC-SUM-4004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc
ACC-SUM-5004-1.1,Accountancy,Digital and Data Management,Infocomm Security and Data Privacy,"Develop awareness of various risks related to Infocomm Technology (IT), information security and data privacy",tsc
ACC-BIN-3142-1.1,Accountancy,Financial and Transaction Management,Post-deal Integration Management,"Ensure all aspects of post-merger integration activities are well-coordinated, to achieve the desired synergies and declared business goals",tsc
ACC-BIN-4142-1.1,Accountancy,Financial and Transaction Management,Post-deal Integration Management,"Ensure all aspects of post-merger integration activities are well-coordinated, to achieve the desired synergies and declared business goals",tsc
ACC-BIN-5142-1.1,Accountancy,Financial and Transaction Management,Post-deal Integration Management,"Ensure all aspects of post-merger integration activities are well-coordinated, to achieve the desired synergies and declared business goals",tsc
ACC-BVL-3001-1.1,Accountancy,Financial and Transaction Management,Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,tsc
ACC-BVL-3002-1.1,Accountancy,Financial and Transaction Management,Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions,tsc
ACC-BVL-3003-1.1,Accountancy,Financial and Transaction Management,Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement,tsc
ACC-BVL-3004-1.1,Accountancy,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,tsc
ACC-BVL-3005-1.1,Accountancy,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,tsc
ACC-BVL-4001-1.1,Accountancy,Financial and Transaction Management,Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,tsc
ACC-BVL-4002-1.1,Accountancy,Financial and Transaction Management,Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions,tsc
ACC-BVL-4003-1.1,Accountancy,Financial and Transaction Management,Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement,tsc
ACC-BVL-4004-1.1,Accountancy,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,tsc
ACC-BVL-4005-1.1,Accountancy,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,tsc
ACC-BVL-5001-1.1,Accountancy,Financial and Transaction Management,Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,tsc
ACC-BVL-5002-1.1,Accountancy,Financial and Transaction Management,Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions,tsc
ACC-BVL-5003-1.1,Accountancy,Financial and Transaction Management,Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement,tsc
ACC-BVL-5004-1.1,Accountancy,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,tsc
ACC-BVL-5005-1.1,Accountancy,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,tsc
ACC-BVL-6001-1.1,Accountancy,Financial and Transaction Management,Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,tsc
ACC-BVL-6002-1.1,Accountancy,Financial and Transaction Management,Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions,tsc
ACC-BVL-6003-1.1,Accountancy,Financial and Transaction Management,Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement,tsc
ACC-BVL-6004-1.1,Accountancy,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,tsc
ACC-BVL-6005-1.1,Accountancy,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,tsc
ACC-CFI-2002-1.1,Accountancy,Financial and Transaction Management,Financial Management,Ensure healthy finance to aid business growth and operations,tsc
ACC-CFI-2004-1.1,Accountancy,Financial and Transaction Management,Treasury Management,Balance and optimise the organisation's cash needs and cash balances and determine the optimal financing of working capital,tsc
ACC-CFI-2005-1.1,Accountancy,Financial and Transaction Management,Valuation,Perform valuation for business and financial assets for deal structuring,tsc
ACC-CFI-3001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc
ACC-CFI-3002-1.1,Accountancy,Financial and Transaction Management,Financial Management,Ensure healthy finance to aid business growth and operations,tsc
ACC-CFI-3004-1.1,Accountancy,Financial and Transaction Management,Treasury Management,Balance and optimise the organisation's cash needs and cash balances and determine the optimal financing of working capital,tsc
ACC-CFI-3005-1.1,Accountancy,Financial and Transaction Management,Valuation,Perform valuation for business and financial assets for deal structuring,tsc
ACC-CFI-4001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc
ACC-CFI-4002-1.1,Accountancy,Financial and Transaction Management,Financial Management,Ensure healthy finance to aid business growth and operations,tsc
ACC-CFI-4004-1.1,Accountancy,Financial and Transaction Management,Treasury Management,Balance and optimise the organisation's cash needs and cash balances and determine the optimal financing of working capital,tsc
ACC-CFI-4005-1.1,Accountancy,Financial and Transaction Management,Valuation,Perform valuation for business and financial assets for deal structuring,tsc
ACC-CFI-5001-1.1,Accountancy,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,tsc
